,Unnamed: 0.1,Unnamed: 0,service_date,route_id,direction,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,earliness,delta
124566,131647,5035564,2020-09-18,39,Outbound,48739032.0,1363,brghm,5.0,Midpoint,Headway,1900-01-01 14:50:00,1900-01-01 14:46:07,480.0,135.0,,233.0
125520,132627,5114385,2020-09-19,39,Inbound,48748961.0,1317,brghm,5.0,Midpoint,Headway,1900-01-01 12:55:00,1900-01-01 12:51:21,600.0,333.0,,219.0
125566,132673,5114431,2020-09-19,39,Inbound,48749059.0,65741,heath,4.0,Midpoint,Headway,1900-01-01 13:40:00,1900-01-01 13:39:33,600.0,88.0,,27.0
126520,133679,5115437,2020-09-19,39,Outbound,48748964.0,10642,fhill,9.0,Endpoint,Headway,1900-01-01 15:27:00,1900-01-01 15:17:34,600.0,219.0,,566.0
126566,133725,5115483,2020-09-19,39,Outbound,48748915.0,11388,hunbv,2.0,Midpoint,Headway,1900-01-01 16:19:00,1900-01-01 16:18:51,660.0,657.0,,9.0
127520,134724,5170298,2020-09-20,39,Inbound,48755353.0,81317,nuniv,7.0,Midpoint,Headway,1900-01-01 19:19:00,1900-01-01 19:12:39,840.0,597.0,,381.0
127566,134772,5170346,2020-09-20,39,Inbound,48755347.0,31317,hlong,6.0,Midpoint,Headway,1900-01-01 20:30:00,1900-01-01 20:26:51,840.0,752.0,,189.0
128520,135751,5244062,2020-09-21,39,Inbound,48768105.0,175,copst,9.0,Midpoint,Headway,1900-01-01 06:17:00,1900-01-01 06:10:52,840.0,423.0,,368.0
128566,135797,5244108,2020-09-21,39,Inbound,48768071.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 06:51:00,1900-01-01 06:50:42,420.0,325.0,,18.0
129520,136772,5245083,2020-09-21,39,Inbound,48768178.0,175,copst,9.0,Midpoint,Headway,1900-01-01 22:53:00,1900-01-01 22:46:53,720.0,471.0,,367.0
129566,136818,5245129,2020-09-21,39,Inbound,48768141.0,81317,nuniv,7.0,Midpoint,Headway,1900-01-01 23:41:00,1900-01-01 23:41:37,660.0,722.0,,37.0
130520,137814,5246125,2020-09-21,39,Outbound,48768168.0,1160,shunt,7.0,Midpoint,Headway,1900-01-01 22:01:00,1900-01-01 21:56:41,720.0,408.0,,259.0
130566,137863,5246174,2020-09-21,39,Outbound,48768140.0,1363,brghm,5.0,Midpoint,Headway,1900-01-01 23:03:00,1900-01-01 23:01:56,720.0,666.0,,64.0
131520,138851,5341574,2020-09-22,39,Inbound,48781828.0,11131,shunt,3.0,Midpoint,Headway,1900-01-01 18:23:00,1900-01-01 18:20:36,480.0,226.0,,144.0
131566,138904,5341627,2020-09-22,39,Inbound,48781852.0,23391,bbsta,10.0,Endpoint,Headway,1900-01-01 19:07:00,1900-01-01 18:53:19,480.0,82.0,,821.0
132520,139903,5342626,2020-09-22,39,Outbound,48781948.0,1939,jpctr,8.0,Midpoint,Headway,1900-01-01 17:38:00,1900-01-01 17:20:10,480.0,18.0,,1070.0
132566,139961,5342684,2020-09-22,39,Outbound,48781909.0,91391,hlong,4.0,Midpoint,Headway,1900-01-01 18:31:00,1900-01-01 18:26:37,480.0,389.0,,263.0
133520,140948,5438091,2020-09-23,39,Inbound,48795586.0,11389,hunbv,8.0,Midpoint,Headway,1900-01-01 14:54:00,1900-01-01 14:53:06,720.0,1008.0,,54.0
